state,circuit_size,year,avg_decr,mrc,perc_decr_yoy,perc_decr
AK,1000,2022,0.3510481890651033,1024.869606277322,0.3510481890651033,-0.7267014383260475
AK,200,2022,14.115384615384615,-11082702.017666135,14.115384615384615,-2257.0207669549386
AK,50,2022,0.0,30797.5,0.0,0.0
AK,500,2022,0.033876074174581626,6763.317501681674,0.033876074174581626,-0.09822433310911013
national,100,2022,0.17074614411211012,490.41184363520694,0.17074614411211012,-0.42975367019161986
national,1000,2022,0.1581228272275071,1217.5626418550282,0.1581228272275071,-0.4033135141408508
national,10000,2022,0.1312202956330587,3836.05536305033,0.1312202956330587,-0.3442640405042171
national,200,2022,0.15655955298864224,750.0207592246313,0.15655955298864224,-0.3999833926202949
national,50,2022,0.1795626450728112,360.2055210251882,0.1795626450728112,-0.4477492970100602
national,500,2022,0.16940499005538293,1037.161835754992,0.16940499005538293,-0.42698241118508734
national,aggregate,2022,0.09291692850135541,1343.4258201006896,0.09291692850135541,-0.25365232216628353
AK,$_mbps,2023,0.07210365987352828,-1521.3353876979943,0.07210365987352828,-3.713732477470585
national,$_mbps,2023,0.32315884516559373,0.9350176401076007,0.32315884516559373,-0.5687188006883761
AK,100,2023,0.0,7000.0,0.0,0.0
AK,1000,2023,0.3510481890651033,665.0909869658026,0.3510481890651033,-0.822642403475786
AK,200,2023,14.115384615384615,145353899.53939047,14.115384615384615,29587.580058909003
AK,50,2023,0.0,30797.5,0.0,0.0
AK,500,2023,0.033876074174581626,6534.202856328459,0.033876074174581626,-0.12877295248953877
national,100,2023,0.17074614411211012,406.67591230758427,0.17074614411211012,-0.5271210322004835
national,1000,2023,0.1581228272275071,1025.0381945983186,0.1581228272275071,-0.4976632682533454
national,10000,2023,0.1312202956330587,3332.6870442460854,0.1312202956330587,-0.43030990696648114
national,200,2023,0.15655955298864224,632.5978444282209,0.15655955298864224,-0.4939217244574233
national,50,2023,0.1795626450728112,295.5260649000753,0.1795626450728112,-0.5469128939822533
national,500,2023,0.16940499005538293,861.4614452830948,0.16940499005538293,-0.5240544501198371
national,aggregate,2023,0.09291692850135541,1218.598819227519,0.09291692850135541,-0.32300065598471167
AK,$_mbps,2024,0.07210365987352828,-3088.2662081866665,0.07210365987352828,-6.508797321090634
national,$_mbps,2024,0.32315884516559373,0.8551556913140897,0.32315884516559373,-0.6055554929363054
AK,100,2024,0.0,7000.0,0.0,0.0
AK,1000,2024,0.3510481890651033,431.61200042793536,0.3510481890651033,-0.8849034665525505
AK,200,2024,14.115384615384615,-1906372297.8050826,14.115384615384615,-388066.6076956911
AK,50,2024,0.0,30797.5,0.0,0.0
AK,500,2024,0.033876074174581626,6312.849715695714,0.033876074174581626,-0.15828670457390484
national,100,2024,0.17074614411211012,337.2375683777896,0.17074614411211012,-0.6078632925839657
national,1000,2024,0.1581228272275071,862.9562572522528,0.1581228272275071,-0.5770941724973523
national,10000,2024,0.1312202956330587,2895.3708650476497,0.1312202956330587,-0.5050648093935641
national,200,2024,0.15655955298864224,533.55860868296,0.15655955298864224,-0.573153113053632
national,50,2024,0.1795626450728112,242.46062299865852,0.1795626450728112,-0.628270413187185
national,500,2024,0.16940499005538293,715.5255777118164,0.16940499005538293,-0.6046820012641898
national,aggregate,2024,0.09291692850135541,1105.3703598695195,0.09291692850135541,-0.38590535562804473
AK,$_mbps,2025,0.07210365987352828,-5686.975738071689,0.07210365987352828,-11.144331673205015
national,$_mbps,2025,0.32315884516559373,0.8060888872215498,0.32315884516559373,-0.6281877826468866
AK,100,2025,0.0,7000.0,0.0,0.0
AK,1000,2025,0.3510481890651033,280.09538929894205,0.3510481890651033,-0.9253078961869489
AK,200,2025,14.115384615384615,25002805905.828197,14.115384615384615,5089628.700931949
AK,50,2025,0.0,30797.5,0.0,0.0
AK,500,2025,0.033876074174581626,6098.995150473819,0.033876074174581626,-0.18680064660349077
national,100,2025,0.17074614411211012,279.65555392753794,0.17074614411211012,-0.6748191233400721
national,1000,2025,0.1581228272275071,726.5031740818587,0.1581228272275071,-0.6439652375930593
national,10000,2025,0.1312202956330587,2515.4394441687523,0.1312202956330587,-0.5700103514241449
national,200,2025,0.15655955298864224,450.02491141431386,0.15655955298864224,-0.6399800708685489
national,50,2025,0.1795626450728112,198.9237522070177,0.1795626450728112,-0.6950191610471173
national,500,2025,0.16940499005538293,594.311974335174,0.16940499005538293,-0.6716508429087437
national,aggregate,2025,0.09291692850135541,1002.6627411740058,0.09291692850135541,-0.442965143792219
