,district_id,name,state_code,num_students,spiya_or_peer_deal,current_provider_deal,deal_current_provider_array
4910,953702,Cheltenham Twp School District,PA,4607,False,False,
4911,953704,Chestnut Ridge School District,PA,1469,False,False,
4912,953710,Clearfield Area School District,PA,2288,False,False,
4913,953711,Coatesville Area School District,PA,6342,False,False,
4914,953712,Cocalico School District,PA,3074,False,False,
4915,953720,Conemaugh Valley School District,PA,747,True,True,['Atlantic Broadband Penn']
4916,953722,Conestoga Valley School District,PA,4285,False,False,
4917,953724,Conewago Valley School District,PA,3817,False,False,
4918,953725,Conneaut School District,PA,2017,False,False,
4919,953726,Connellsville Area School District,PA,4167,True,True,['Armstrong Cable Services']
4920,953727,Conrad Weiser Area School District,PA,2660,True,True,['Comcast']
4921,953730,Corry Area School District,PA,2094,False,False,
4922,953734,Cranberry Area School District,PA,1174,False,False,
4923,953735,Crawford Central School District,PA,3686,True,True,['Armstrong Cable Services']
4924,953736,Cumberland Valley School District,PA,9564,False,False,
4925,953739,Dallas School District,PA,2670,False,False,
4926,953740,Dallastown Area School District,PA,6307,False,False,
4927,953742,Danville Area School District,PA,2291,False,False,
4928,953744,Delaware Valley School District,PA,4658,False,False,
4929,953746,Derry Area School District,PA,1983,False,False,
4930,953747,Derry Township School District,PA,3363,False,False,
4931,953748,Donegal School District,PA,2986,False,False,
4932,953749,Dover Area School District,PA,3493,False,False,
4933,953750,Downingtown Area School District,PA,12656,False,False,
4934,953751,Du Bois Area School District,PA,3561,False,False,
4935,953752,Dunmore School District,PA,1558,False,False,
4936,953754,East Allegheny School District,PA,1668,False,False,
4937,953756,Eastern Lebanon Co School District,PA,2394,False,False,
4938,953757,East Lycoming School District,PA,1666,True,True,['Comcast']
4939,953761,East Stroudsburg Area School District,PA,6915,True,True,['PenTeleData Limited Partnership I']
4940,953763,Eastern York School District,PA,2515,False,False,
4941,953764,Eastern Lancaster Co School District,PA,3048,False,False,
4942,953765,Easton Area School District,PA,8828,False,False,
4943,953768,Elizabethtown Area School District,PA,3855,False,False,
4944,953769,Elk Lake School District,PA,1175,True,False,
4945,953771,Ellwood City Area School District,PA,1645,False,False,
4946,953772,Ephrata Area School District,PA,4169,True,True,['Comcast']
4947,953775,Erie's Public Schools,PA,11317,False,False,
4948,953776,Everett Area School District,PA,1304,False,False,
4949,953780,Fairview School District,PA,1599,False,False,
4950,953782,Karns City Area School District,PA,1459,True,True,"['Armstrong Cable Services', 'Zito Media Communications']"
4951,953786,Ferndale Area School District,PA,703,False,False,
4952,953787,Fleetwood Area School District,PA,2493,True,False,
4953,953795,Fort Cherry School District,PA,1023,False,False,
4954,953796,Fort Le Boeuf School District,PA,2152,False,False,
4955,953798,North Schuylkill School District,PA,1889,True,True,['Comcast']
4956,953799,North Star School District,PA,1122,True,True,['Comcast']
4957,953800,Franklin Area School District,PA,1931,False,False,
4958,953801,Franklin Regional School District,PA,3482,False,False,
4959,953802,Frazier School District,PA,1203,True,True,['Verizon']
4960,953804,Freeport Area School District,PA,1875,False,False,
4961,953809,General Mclane School District,PA,2198,False,False,
4962,953810,Gettysburg Area School District,PA,2938,False,False,
4963,953811,Girard School District,PA,1731,False,False,
4964,953813,Glendale School District,PA,774,True,True,['Windstream']
4965,953819,Greater Latrobe School District,PA,3916,False,False,
4966,953821,Greencastle Antrim School District,PA,3022,False,False,
4967,953822,Greenville Area School District,PA,1319,True,True,['Zito Media Communications']
4968,953825,Grove City Area School District,PA,2426,False,False,
4969,953831,Hanover Area School District,PA,2037,True,True,['PenTeleData Limited Partnership I']
4970,953832,Hanover Public School District,PA,1859,False,False,
4971,953833,Harbor Creek School District,PA,2100,False,False,
4972,953836,Harrisburg City School District,PA,6075,True,True,['Comcast']
4973,953837,Hatboro-Horsham School District,PA,4735,False,False,
4974,953839,Hazleton Area School District,PA,11194,False,False,
4975,953840,Saucon Valley School District,PA,2190,False,False,
4976,953841,Hempfield Area School District,PA,5738,False,False,
4977,953842,Hempfield School District,PA,6863,False,False,
4978,953843,Hermitage School District,PA,2032,False,False,
4979,953845,Hollidaysburg Area School District,PA,3449,False,False,
4980,953846,Hopewell Area School District,PA,2033,False,False,
4981,953848,Indiana Area School District,PA,2841,True,True,"['Comcast', 'DQE Communications']"
4982,953850,Iroquois School District,PA,1246,False,False,
4983,953852,Jeannette City School District,PA,1019,True,True,['Westmoreland Intermediate Unit']
4984,953854,Jefferson-Morgan School District,PA,767,True,False,
4985,953857,Jim Thorpe Area School District,PA,2012,True,True,['PenTeleData Limited Partnership I']
4986,953860,Juniata County School District,PA,2853,True,False,
4987,953864,Kennett Consolidated School District,PA,4150,False,False,
4988,953865,Keystone School District,PA,1004,False,False,
4989,953866,Keystone Central School District,PA,4083,False,False,
4990,953867,Keystone Oaks School District,PA,1899,False,False,
4991,953869,Kiski Area School District,PA,3716,False,False,
4992,953871,Lackawanna Trail School District,PA,989,True,True,['Commonwealth Telephone']
4993,953874,Lake-Lehman School District,PA,1858,False,False,
4994,953875,Lakeland School District,PA,1470,False,False,
