,district_id,name,state_code,num_students,upgraded_no_total_cost_increase,ia_monthly_cost_total_17,ia_monthly_cost_total_18,total_cost_change_pct,ia_bw_mbps_total_17,ia_bw_mbps_total_18,total_bw_change_x
70,889004,Hillsborough Co School District,FL,193669,False,33171.5800000000000000000000,46899.600000000000000000000,0.4138488428950324343911,15000,40000,2.6666666666666667
71,889010,Lake County School District,FL,39671,False,7275.00000000000000000000,17387.8400000000000000000000,1.3900810996563573883162,3000,8000,2.6666666666666667
72,889034,Santa Rosa Co School District,FL,26805,False,9949.8800000000000000000000,13703.0000000000000000000000,0.3772025391261000132665,2000,5000,2.5000000000000000
73,894202,Carlisle Community School District,IA,2214,False,900.00000000000000000000,1382.1100000000000000000000,0.5356777777777777777778,200,350,1.7500000000000000
74,946500,Hoosick Falls Central School District,NY,1116,False,506.6725069883772252375000,983.9900000000000000000000,0.9420631402496290615857,110,200,1.8181818181818182
75,969312,Edinburg Independent School District,TX,34642,False,2648.300000000000000000000,3495.00000000000000000000,0.319714533851904995658,3000,5000,1.6666666666666667
76,949582,Cambridge City School District,OH,2346,False,2749.4900000000000000000000,2935.00000000000000000000,0.0674706945651739049787,200,300,1.5000000000000000
77,949724,Vandalia Butler City School District,OH,2832,False,1520.9500000000000000000000,1973.0200000000000000000000,0.2972287057431210756435,200,400,2.0000000000000000
78,901116,Edwardsville Community School District 7,IL,7426,False,4130.00000000000000000000,6240.00000000000000000000,0.51089588377723970944,400,1700,4.2500000000000000
79,901156,Frankfort School District 157-C,IL,2523,False,2685.9100000000000000000000,5853.1900000000000000000000,1.1792204504246233120246,200,500,2.5000000000000000
80,901252,Homewood School District 153,IL,2512,False,1188.0700000000000000000000,3003.5000000000000000000000,1.5280496940415968756050,200,1200,6.0000000000000000
81,901286,Kansas Community Unit School District 3,IL,224,False,120.00000000000000000000,650.00000000000000000000,4.41666666666666666667,15,50,3.3333333333333333
82,901393,Maroa-Forsyth Community Unified School District #2,IL,1192,False,540.00000000000000000000,2125.00000000000000000000,2.93518518518518518519,100,500,5.0000000000000000
83,901401,Mattoon School District 2,IL,3280,False,1816.7500000000000000000000,3500.00000000000000000000,0.9265171322416402917297,200,1000,5.0000000000000000
84,901412,Mendota School District 289,IL,1101,False,810.8700000000000000000000,849.9500000000000000000000,0.0481951484208319459346,100,500,5.0000000000000000
85,901417,Metamora C C School District 1,IL,886,False,1000.00000000000000000000,1350.00000000000000000000,0.35000000000000000000,50,100,2.0000000000000000
86,901429,Minooka School District 201,IL,4500,False,2400.00000000000000000000,2949.700000000000000000000,0.229041666666666666667,400,1000,2.5000000000000000
87,901437,Montmorency C C School District 145,IL,253,False,1000.00000000000000000000,1100.00000000000000000000,0.10000000000000000000,20,100,5.0000000000000000
88,949902,Buckeye Valley Local School District,OH,2145,False,3043.7700000000000000000000,3283.7700000000000000000000,0.0788495845612513429070,200,300,1.5000000000000000
89,951508,Moffett School District 68,OK,369,False,730.00000000000000000000,920.00000000000000000000,0.26027397260273972603,20,100,5.0000000000000000
90,970019,Shepherd Independent School District,TX,2020,False,4387.8094133553654068164800,5138.7500000000000000000000,0.1711424804274689393860,200,1000,5.0000000000000000
91,903564,Lawrence Unified School District #497,KS,11447,False,2454.9800000000000000000000,3600.00000000000000000000,0.4664070583059739794214,1030,3000,2.9126213592233010
