,district_id,state_code,rec_cost,purpose,state_network
26437,959608,RI,1850.00000000000000037000,upstream,True
26438,959608,RI,5200.00000000000000012350,upstream,True
26439,959608,RI,4578.00000000000000000000,isp,True
26440,959609,RI,925.00000000000000018500,upstream,True
26441,959609,RI,799.99999999999999992000,upstream,True
26442,959609,RI,649.99999999999999994150,upstream,True
26443,959609,RI,8301.1666666666700000000000000000000,wan,True
26444,959609,RI,1469.800000000000000000000,isp,True
26445,959610,RI,649.99999999999999994150,upstream,True
26446,959610,RI,949.1700000000000000000000,isp,True
26447,959611,RI,1850.00000000000000037000,upstream,True
26448,959611,RI,949.1700000000000000000000,isp,True
26449,959611,RI,949.1700000000000000000000,isp,True
26450,959612,RI,1299.99999999999999988300,upstream,True
26451,959612,RI,949.1700000000000000000000,isp,True
26452,959613,RI,499.99999999999999998000,upstream,True
26453,959613,RI,1329.6800000000000000000000,isp,True
26454,959614,RI,925.00000000000000018500,upstream,True
26455,959614,RI,1266.7500000000000000000000,isp,True
26456,959615,RI,925.00000000000000018500,upstream,True
26457,959615,RI,1949.99999999999999982450,upstream,True
26458,959615,RI,1400.00000000000000000000,isp,True
26459,959616,RI,925.00000000000000018500,upstream,True
26460,959616,RI,947.9200000000000000000000,isp,True
26461,959617,RI,3699.99999999999999988900,upstream,True
26462,959617,RI,1407.500000000000000000000,isp,True
26463,959618,RI,499.99999999999999998000,upstream,True
26464,959618,RI,1116.6600000000000000000000,isp,True
26465,959619,RI,1800.00000000000000000000,upstream,True
26466,959619,RI,702.6600000000000000000000,isp,True
26467,959621,RI,2774.99999999999999970400,upstream,True
26468,959621,RI,1116.6700000000000000000000,isp,True
26469,959622,RI,1500.00000000000000000000,upstream,True
26470,959622,RI,1041.6600000000000000000000,isp,True
26471,959622,RI,1075.4100000000000000000000,isp,True
26472,959622,RI,1196.3700000000000000000000,isp,True
26473,959622,RI,1561.8700000000000000000000,isp,True
26474,959623,RI,1500.00000000000000000000,upstream,True
26475,959623,RI,1407.500000000000000000000,isp,True
26476,959624,RI,925.00000000000000018500,upstream,True
26477,959624,RI,1299.99999999999999988300,upstream,True
26478,959624,RI,1116.6700000000000000000000,isp,True
26479,959625,RI,999.99999999999999996000,upstream,True
26480,959625,RI,2550.00000000000000003400,upstream,True
26481,959625,RI,2400.00000000000000000000,wan,True
26482,959625,RI,4970.00000000000000000000,wan,True
26483,959625,RI,4387.500000000000000000000,isp,True
26484,959626,RI,3699.99999999999999988900,upstream,True
26485,959626,RI,2071.8300000000000000000000,isp,True
26486,959627,RI,999.99999999999999996000,upstream,True
26487,959627,RI,30600.00000000000000004250,upstream,True
26488,959627,RI,9869.2500000000000000000000,isp,True
26489,959628,RI,925.00000000000000018500,upstream,True
26490,959628,RI,2400.00000000000000000000,upstream,True
26491,959628,RI,2043.3200000000000000000000,isp,True
26492,959629,RI,1850.00000000000000037000,upstream,True
26493,959629,RI,3199.99999999999999992000,upstream,True
26494,959629,RI,1266.7500000000000000000000,isp,True
26495,959630,RI,3699.99999999999999988900,upstream,True
26496,959630,RI,1949.99999999999999982450,upstream,True
26497,959630,RI,1425.00000000000000000000,isp,True
26498,959630,RI,2041.6700000000000000000000,isp,True
26499,959631,RI,925.00000000000000018500,upstream,True
26500,959631,RI,1949.99999999999999982450,upstream,True
26501,959631,RI,1266.7500000000000000000000,isp,True
26502,959632,RI,3699.99999999999999988900,upstream,True
26503,959632,RI,11200.00000000000000008000,upstream,True
26504,959632,RI,2707.500000000000000000000,isp,True
26505,959633,RI,925.00000000000000018500,upstream,True
26506,959633,RI,1600.00000000000000008000,upstream,True
26507,959633,RI,649.99999999999999994150,upstream,True
26508,959633,RI,2193.7500000000000000000000,isp,True
26509,959634,RI,1850.00000000000000037000,upstream,True
26510,959634,RI,2599.99999999999999976600,upstream,True
26511,959634,RI,1196.3800000000000000000000,isp,True
26512,959636,RI,2437.500000000000000000000,internet,True
26513,959636,RI,2021.300000000000000000000,internet,True
26514,959636,RI,3146.818181818181818184965,wan,True
26515,962209,SC,2915.50000000000000023324,internet,True
26516,962209,SC,2037.0599999999999998574058,wan,True
26517,962209,SC,808.0800000000000000000000,wan,True
26518,962209,SC,589.680000000000000000000,wan,True
26519,962209,SC,1747.6599999999999999825234,wan,True
26520,962217,SC,2915.50000000000000023324,internet,True
26521,962217,SC,5242.9799999999999999475702,wan,True
