funding_year,state_code,district_id,num_students,old_total_bw,old_total_cost,old_bw_per_student,projected_bw_fy2018,deal,total_circuits,new_total_bw,new_total_cost,total_li,bw_rank,best_deal,new_bw_per_student,total_bw_change,total_bw_percent_change
2019,FL,888987,285087,42756.0,18843.96,149.97527070683685,114034.8,Deal 5,9.0,89500.0,18840.0,4.0,1.0,True,313.93925363134764,46744.0,1.0932734586958555
2019,FL,889001,7370,2000.0,5899.19,271.37042062415196,6264.5,Deal 1,3.0,4000.0,5300.0,2.0,1.0,True,542.7408412483039,2000.0,1.0
2019,FL,889002,18192,5018.0,10187.84,275.83553210202285,12734.4,Deal 2,2.0,8150.0,9839.0,2.0,1.0,True,447.9991204925242,3132.0,0.6241530490235153
2019,FL,889003,12258,2000.0,5899.19,163.15875346712352,8580.6,Deal 3,3.0,8000.0,5655.0,2.0,1.0,True,652.6350138684941,6000.0,3.0
2019,FL,889010,40564,8000.0,17387.84,197.2192091509713,28394.8,Deal 2,4.0,24000.0,17279.0,3.0,1.0,True,591.6576274529139,16000.0,2.0
2019,FL,889016,2800,1050.0,2445.0,375.0,2380.0,Deal 1,2.0,2000.0,2000.0,1.0,1.0,True,714.2857142857143,950.0,0.9047619047619048
2019,FL,889033,10668,2500.0,5950.0,234.34570678665168,7467.6,Deal 3,3.0,7100.0,5805.0,3.0,1.0,True,665.5418072740907,4600.0,1.84
2019,FL,889035,36316,5000.0,8288.0,137.68036127326798,25421.2,Deal 2,2.0,11000.0,6732.0,2.0,1.0,True,302.89679480118957,6000.0,1.2
2019,FL,889037,38104,14000.0,28538.26,367.41549443627963,26672.8,Deal 1,4.0,25000.0,27825.0,2.0,1.0,True,656.0990972076422,11000.0,0.7857142857142857
2019,FL,889038,36841,10000.0,16635.53,271.43671453000735,25788.7,Deal 3,3.0,20000.0,16031.0,2.0,1.0,True,542.8734290600147,10000.0,1.0
2019,FL,889046,8603,1500.0,4650.0,174.35778216901082,7312.55,Deal 1,2.0,3000.0,4300.0,2.0,1.0,True,348.71556433802164,1500.0,1.0
2019,IA,894143,971,400.0,1410.0,411.94644696189494,971.0,Deal 2,2.0,600.0,1343.0,2.0,1.0,True,617.9196704428424,200.0,0.5
2019,IA,894183,549,300.0,1250.0,546.448087431694,549.0,Deal 2,1.0,500.0,990.0,1.0,1.0,True,910.7468123861566,200.0,0.6666666666666666
2019,IA,894187,1531,550.0,2164.85,359.24232527759636,1531.0,Deal 5,2.0,1200.0,2100.0,2.0,1.0,True,783.8014369693011,650.0,1.1818181818181819
2019,IA,894200,1031,350.0,1678.21,339.47623666343355,1031.0,Deal 2,1.0,1000.0,1440.0,1.0,1.0,True,969.9321047526673,650.0,1.8571428571428572
