,line_item_id,state_code,size,funding_year,li_monthly_cost,bandwidth_received,rec_cost_per_meg,service_provider_id,state_network,parent_name,cost_tier,num_lines
136,38682,WI,Small,2015,583.34,95,6.1404210526315789,39948,True,WiscNet,Low,1
137,38683,WI,Small,2015,666.67,100,6.6667000000000000,39948,True,WiscNet,Low,1
138,38711,WI,Medium,2015,1800.00,100,18.0000000000000000,39948,True,WiscNet,Low,1
139,38713,WI,Small,2015,666.67,100,6.6667000000000000,39948,True,WiscNet,Low,1
140,38765,WI,Medium,2015,291.67,200,1.4583500000000000,39948,True,WiscNet,Low,1
141,38770,WI,Small,2015,700.00,500,1.4000000000000000,39948,True,WiscNet,Low,1
142,38772,WI,Small,2015,625.00,100,6.2500000000000000,39948,True,WiscNet,Low,1
143,38776,WI,Small,2015,666.67,91,7.3260439560439560,39948,True,WiscNet,Low,1
144,38786,WI,Small,2015,1240.42,1000,1.2404200000000000,39948,True,WiscNet,Low,1
145,38811,WI,Medium,2015,1300.00,1000,1.3000000000000000,39948,True,WiscNet,Low,1
146,38815,WI,Tiny,2015,583.34,50,11.6668000000000000,39948,True,WiscNet,Low,1
147,38840,WI,Small,2015,666.67,100,6.6667000000000000,39948,True,WiscNet,Low,1
148,38863,WI,Small,2015,541.67,18,30.0927777777777778,39948,True,WiscNet,Low,1
149,38876,WI,Small,2015,583.34,95,6.1404210526315789,39948,True,WiscNet,Low,1
150,38894,WI,Small,2015,650.00,94,6.9148936170212766,39948,True,WiscNet,Low,1
151,38920,WI,Medium,2015,1300.00,100,13.0000000000000000,39948,True,WiscNet,Low,1
152,38930,WI,Small,2015,625.00,70,8.9285714285714286,39948,True,WiscNet,Low,1
153,38943,WI,Small,2015,550.00,100,5.5000000000000000,38245,True,Amery Telecommunications,Low,1
154,38999,WI,Small,2015,958.34,100,9.5834000000000000,39948,True,WiscNet,Low,1
155,39006,WI,Small,2015,1025.00,1000,1.0250000000000000,39948,True,WiscNet,Low,1
156,39024,WI,Small,2015,500.00,30,16.6666666666666667,39948,True,WiscNet,Low,1
157,39025,WI,Small,2015,583.34,100,5.8334000000000000,39948,True,WiscNet,Low,1
158,39061,WI,Small,2015,583.34,30,19.4446666666666667,39948,True,WiscNet,Low,1
159,39064,WI,Small,2015,898.76,91,9.8764835164835165,39948,True,WiscNet,Low,1
160,39066,WI,Small,2015,600.00,100,6.0000000000000000,39948,True,WiscNet,Low,1
161,39093,WI,Small,2015,630.00,100,6.3000000000000000,41626,True,Bruce Telephone,Low,1
162,39095,WI,Small,2015,1075.00,1000,1.0750000000000000,39948,True,WiscNet,Low,1
163,39117,WI,Small,2015,958.34,100,9.5834000000000000,39948,True,WiscNet,Low,1
164,39138,WI,Medium,2015,1041.67,550,1.8939454545454545,39948,True,WiscNet,Low,1
165,39141,WI,Small,2015,600.00,97,6.1855670103092784,39948,True,WiscNet,Low,1
166,39176,WI,Small,2015,965.00,100,9.6500000000000000,42447,True,Central Wisconsin Communications,Low,1
167,39184,WI,Small,2015,708.34,90,7.8704444444444444,39948,True,WiscNet,Low,1
168,39185,WI,Small,2015,791.67,94,8.4220212765957447,39948,True,WiscNet,Low,1
169,39186,WI,Small,2015,467.50,200,2.3375000000000000,41043,True,Tri-County Communications Cooperative,Low,1
170,39196,WI,Small,2015,541.67,100,5.4167000000000000,37053,True,Infinity Technology,Low,1
171,39201,WI,Small,2015,1041.60,1000,1.0416000000000000,39948,True,WiscNet,Low,1
172,39223,WI,Small,2015,583.34,26,22.4361538461538462,39948,True,WiscNet,Low,1
173,39232,WI,Tiny,2015,500.00,100,5.0000000000000000,39948,True,WiscNet,Low,1
174,39234,WI,Tiny,2015,500.00,30,16.6666666666666667,39948,True,WiscNet,Low,1
175,39605,CA,Medium,2015,1417.00,100,14.1700000000000000,38532,False,City of San Bruno,Low,1
176,39719,CA,Small,2015,1375.00,1000,1.3750000000000000,43335,False,Monterey County Office of Education,Low,1
177,40152,IL,Small,2015,210.00,15,14.0000000000000000,41676,False,Illinois Century Network,High,1
178,40295,IN,Medium,2015,6675.00,100,66.7500000000000000,41297,False,Education Networks of America (ENA),Low,1
179,40341,KY,Mega,2015,1386.72,10,138.6720000000000000,42496,True,AT&T,Low,1
180,41544,OH,Small,2015,300.00,50,6.0000000000000000,37208,False,Ohio Mid Eastern Regional Education Service Agency,Mid,1
181,43206,TX,Tiny,2015,700.00,6,116.6666666666666667,40345,False,Region 9 Education Service Center,Low,1
182,43251,TX,Small,2015,1500.00,100,15.0000000000000000,43926,False,ESC7Net,Low,1
183,43254,TX,Small,2015,6000.00,80,75.0000000000000000,38141,False,Education Service Center Region 17,Low,1
184,43268,TX,Small,2015,2797.33,100,27.9733000000000000,41937,False,Region 18 Education Service Center,Low,1
185,43383,TX,Small,2015,800.00,10,80.0000000000000000,40345,False,Region 9 Education Service Center,Low,1
186,43415,TX,Small,2015,250.00,100,2.5000000000000000,42680,False,Cogent Communications,Low,1
187,43730,WI,Medium,2015,1300.00,990,1.3131313131313131,39948,True,WiscNet,Low,1
188,43747,WI,Small,2015,1150.00,1000,1.1500000000000000,39948,True,WiscNet,Low,1
189,43793,WI,Small,2015,1075.00,1000,1.0750000000000000,39948,True,WiscNet,Low,1
190,44618,IL,Small,2015,2000.00,1000,2.0000000000000000,37843,False,Northern Illinois University,High,1
191,45408,RI,Small,2015,1375.00,200,6.8750000000000000,37740,True,Oshean,Mid,1
192,45554,WI,Tiny,2015,666.67,98,6.8027551020408163,39948,True,WiscNet,Low,1
193,45756,IL,Tiny,2015,252.00,21,12.0000000000000000,41676,False,Illinois Century Network,High,1
194,46305,WI,Tiny,2015,500.00,3,166.6666666666666667,39948,True,WiscNet,Low,1
195,46399,CA,Small,2015,276.11,100,2.7611000000000000,39247,False,Tuolumne County Superintendent of Schools,Low,1
196,46412,CA,Small,2015,691.67,100,6.9167000000000000,40628,False,Lassen County Office of Education,Low,1
197,46545,CA,Small,2015,802.98,100,8.0298000000000000,40010,False,Santa Cruz County Office of Education,Low,1
198,46555,CA,Tiny,2015,516.25,1.54,335.2272727272727273,37109,False,Shasta County Office of Education,Low,1
199,48407,MT,Medium,2015,3240.00,200,16.2000000000000000,40241,False,Ronan Telephone,Low,1
200,48514,NE,Small,2015,59.95,3,19.9833333333333333,36897,True,Pinpoint Communications,Low,1
201,48515,NE,Small,2015,42.40,3,14.1333333333333333,36897,True,Pinpoint Communications,Low,1
202,49317,RI,Medium,2015,1733.33,500,3.4666600000000000,37740,True,Oshean,Mid,1
203,49414,TX,Small,2015,1000.00,20,50.0000000000000000,40345,False,Region 9 Education Service Center,Low,1
204,50052,WI,Small,2015,666.67,500,1.3333400000000000,39948,True,WiscNet,Low,1
205,50062,WI,Small,2015,750.00,100,7.5000000000000000,39948,True,WiscNet,Low,1
206,50109,WI,Medium,2015,1300.00,1000,1.3000000000000000,39948,True,WiscNet,Low,1
