district_id,funding_year,name,state_code,num_students,ia_bw_mbps_total,ia_monthly_cost_total,upstream_monthly_cost_total,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,total_projected_cost
881787,2019,Clay County School District,AL,1936.0,1000,2425.0,0,0.0,2500.0,0.0,0.0,2500.0
881792,2019,Cleburne County School District,AL,2614.0,1000,8519.8,0,0.0,2500.0,0.0,0.0,2500.0
881798,2019,Coffee County Board Of Education,AL,2148.0,1000,4190.32,0,0.0,2500.0,0.0,0.0,2500.0
881806,2019,Colbert County School District,AL,2619.0,1000,3979.64,0,0.0,2500.0,0.0,0.0,2500.0
881811,2019,Conecuh County Schools,AL,1858.0,1000,3231.18,0,0.0,2500.0,0.0,0.0,2500.0
881824,2019,Coosa County School District,AL,980.0,1000,3985.09,0,890.0,0.0,0.0,0.0,890.0
881830,2019,Covington County School District,AL,3121.0,1500,5611.61,0,0.0,2500.0,0.0,0.0,2500.0
881836,2019,Crenshaw County School District,AL,2293.0,1500,5288.53,0,0.0,2500.0,0.0,0.0,2500.0
881838,2019,Cossatot River School District,AR,1022.0,2000,5755.885915010465,4500.5400000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881842,2019,Cullman City School District,AL,3094.0,2500,10459.86,0,0.0,2500.0,0.0,0.0,2500.0
881847,2019,Cullman County School District,AL,9477.0,3000,8771.18,0,0.0,2500.0,0.0,0.0,2500.0
881851,2019,Dale County School District,AL,3135.0,1500,5293.9,0,0.0,2500.0,0.0,0.0,2500.0
881854,2019,Daleville City School District,AL,1004.0,1000,3926.03,0,0.0,2500.0,0.0,0.0,2500.0
881860,2019,Dallas County School District,AL,3145.0,1500,6421.98,0,0.0,2500.0,0.0,0.0,2500.0
881862,2019,Alma Public School District 30,AR,3152.0,1000,9573.673506959869,5702.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881865,2019,De Kalb County School District,AL,9023.0,3000,10469.31,0,0.0,2500.0,0.0,0.0,2500.0
881867,2019,Alpena Public School District,AR,528.0,1000,1143.554445328303,495.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881871,2019,Decatur City School District,AL,8746.0,3000,6693.09,0,0.0,2500.0,0.0,0.0,2500.0
881876,2019,Demopolis City School District,AL,2296.0,1500,5076.26,0,0.0,2500.0,0.0,0.0,2500.0
881878,2019,Arkadelphia School District,AR,1856.0,3000,4770.967141154035,2491.200000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881881,2019,Dothan City School District,AL,9213.0,2000,6401.59,0,0.0,2500.0,0.0,0.0,2500.0
881884,2019,Armorel Public School District,AR,447.0,1000,1044.0602974654382,495.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881886,2019,Elba City,AL,613.0,1000,4006.84,0,890.0,0.0,0.0,0.0,890.0
881890,2019,Ashdown Public School District,AR,1419.0,2000,3404.990071819814,1662.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881892,2019,Elmore County School District,AL,11417.0,2250,12974.1,0,0.0,0.0,2.0,5000.0,5000.0
881896,2019,Atkins Public School District,AR,1034.0,2000,2770.0857887679267,1500.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881897,2019,Enterprise City School District,AL,7052.0,3000,8734.96,0,0.0,2500.0,0.0,0.0,2500.0
881901,2019,Augusta Public School District,AR,432.0,1000,1730.6354552686114,1200.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881902,2019,Escambia County School District,AL,4151.0,2000,4428.09,0,0.0,2500.0,0.0,0.0,2500.0
881907,2019,Etowah County School District,AL,8764.0,2000,10830.13,0,0.0,2500.0,0.0,0.0,2500.0
881910,2019,Bald Knob Public School District,AR,1270.0,2000,2369.969972664668,1643.3333333333300000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881916,2019,Barton-Lexa School District,AR,830.0,0,1019.5079348910822,0,890.0,0.0,0.0,0.0,890.0
881920,2019,Eufaula City Schools,AL,3949.0,2000,2926.16,0,0.0,2500.0,0.0,0.0,2500.0
881921,2019,Bauxite Public School District,AR,1673.0,2000,3716.9840663527475,1662.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881925,2019,Fairfield City School District,AL,1740.0,1000,3985.09,0,0.0,2500.0,0.0,0.0,2500.0
881927,2019,Bay School District 21,AR,590.0,1000,1219.7104597418536,495.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881931,2019,Fayette County School District,AL,2375.0,1500,8292.27,0,0.0,2500.0,0.0,0.0,2500.0
881932,2019,Beebe Public School District,AR,3369.0,4000,5578.219557407297,1440.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881936,2019,Florence City School District,AL,4416.0,1000,2200.0,0,0.0,2500.0,0.0,0.0,2500.0
881937,2019,Benton Public School District 8,AR,5202.0,7000,12230.37527385953,3321.600000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881941,2019,Fort Payne City School District,AL,3221.0,2500,10559.34,0,0.0,2500.0,0.0,0.0,2500.0
881942,2019,Pea Ridge School District 109,AR,2103.0,3000,5724.762875995116,3141.600000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881946,2019,Franklin County School District,AL,3607.0,2000,7336.81,0,0.0,2500.0,0.0,0.0,2500.0
881948,2019,Bentonville Public Schools,AR,16609.0,22000,38431.21360313974,13680.00000000000000000000,0.0,0.0,2.0,5000.0,5000.0
881951,2019,Gadsden City School District,AL,5166.0,2500,13695.69,0,0.0,2500.0,0.0,0.0,2500.0
881952,2019,Bergman Public School District,AR,1167.0,2000,3823.852722913124,2390.400000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881954,2019,Geneva City School District,AL,1269.0,1000,7243.02,0,0.0,2500.0,0.0,0.0,2500.0
881955,2019,Berryville Public School District,AR,1987.0,3000,5582.277429672989,3141.600000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881958,2019,Geneva County School District,AL,2775.0,1000,10918.94,0,0.0,2500.0,0.0,0.0,2500.0
881959,2019,Bismarck School District,AR,1023.0,2000,3487.374237823587,2230.800000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881962,2019,Greene County School District,AL,733.0,1000,4060.46,0,890.0,0.0,0.0,0.0,890.0
881964,2019,Blevins School District,AR,497.0,1000,2770.4764381215277,2160.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881966,2019,Guntersville City School District,AL,1970.0,1000,3904.27,0,0.0,2500.0,0.0,0.0,2500.0
881968,2019,Blytheville School District 5,AR,1513.0,3000,2983.452416253262,1125.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881971,2019,Hale County School District,AL,2611.0,1000,5215.79,0,0.0,2500.0,0.0,0.0,2500.0
881972,2019,Lead Hill Public School District 4,AR,363.0,500,3391.5611811632084,2945.6800000000000000000000,890.0,0.0,0.0,0.0,890.0
881976,2019,Haleyville City School District,AL,1726.0,1500,8292.27,0,0.0,2500.0,0.0,0.0,2500.0
881977,2019,Booneville Public School District,AR,1253.0,2000,4959.088484841598,3420.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881981,2019,Hartselle City Schools,AL,3210.0,1500,7254.14,0,0.0,2500.0,0.0,0.0,2500.0
881983,2019,Bradford Public School District,AR,474.0,1000,1077.2250134197266,1327.9516666666700000000000000000000,890.0,0.0,0.0,0.0,890.0
881986,2019,Henry County Board Of Education,AL,2489.0,1000,10624.95,0,0.0,2500.0,0.0,0.0,2500.0
881991,2019,Homewood City School District,AL,4170.0,1500,4005.79,0,0.0,2500.0,0.0,0.0,2500.0
881992,2019,Brinkley School District,AR,534.0,3000,3146.9243822070334,2491.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881995,2019,Houston County Board Of Ed,AL,6319.0,1500,5105.05,0,0.0,2500.0,0.0,0.0,2500.0
881996,2019,Brookland Public School District,AR,2482.0,3000,4173.697222168273,1125.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882000,2019,Huntsville City School District,AL,24026.0,2000,6886.8,0,0.0,0.0,3.0,7500.0,7500.0
882001,2019,Bryant Public School District,AR,9953.0,20000,29174.296959001134,16948.800000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882004,2019,Buffalo Island Ctrl School District,AR,783.0,1000,1456.7767626743582,495.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882010,2019,Cabot Public School District,AR,10625.0,30000,24330.929889418974,6480.00000000000000000000,0.0,0.0,2.0,5000.0,5000.0
882011,2019,Jackson County Schools,AL,5470.0,2000,7336.81,0,0.0,2500.0,0.0,0.0,2500.0
882015,2019,Jacksonville City School District,AL,1590.0,1000,4273.59,0,0.0,2500.0,0.0,0.0,2500.0
882016,2019,Caddo Hills School District,AR,611.0,1000,7975.505238817411,7225.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882020,2019,Jasper City School District,AL,2722.0,1500,5076.26,0,0.0,2500.0,0.0,0.0,2500.0
882021,2019,Calico Rock School District,AR,430.0,500,1163.458809642368,635.2800000000000000000000,890.0,0.0,0.0,0.0,890.0
882026,2019,Jefferson County School District,AL,36171.0,8000,16036.85,0,0.0,0.0,4.0,10000.0,10000.0
882027,2019,Carlisle Public School District,AR,703.0,1000,4823.5109376246155,3960.00000000000000000000,890.0,0.0,0.0,0.0,890.0
