district_id,funding_year,name,state_code,fit_for_ia,fit_for_ia_cost,num_students,num_schools,ia_bw_mbps_total,ia_monthly_cost_total,ia_monthly_cost_total_extrap,meeting_2018_goal_oversub,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,projected_isp_3,projected_isp_49,projected_isp_74,total_projected_cost3,total_projected_cost49,total_projected_cost74
936016,2019,Allen Consolidated School District 70,NE,True,True,183.0,2.0,150,4918.528247971288,4918.528247971288,False,1100.0,0.0,0.0,0.0,9.333,15.243900000000002,23.021400000000003,1109.333,1115.2439,1123.0214
936017,2019,Alliance Public School District,NE,True,True,1397.0,4.0,1000,903.9825268627807,903.9825268627807,False,0.0,2200.0,0.0,0.0,71.247,116.37010000000001,175.7426,2271.247,2316.3701,2375.7426
935937,2019,Alma Public School District,NE,True,True,322.0,2.0,300,512.5601958839051,512.5601958839051,False,1100.0,0.0,0.0,0.0,16.422,26.8226,40.507600000000004,1116.422,1126.8226,1140.5076
935930,2019,Amherst Public School District,NE,True,True,384.0,2.0,200,472.69861869384954,472.69861869384954,False,1100.0,0.0,0.0,0.0,19.584,31.9872,48.3072,1119.584,1131.9872,1148.3072
935904,2019,Anselmo-Merna Public Schools,NE,True,True,265.0,2.0,100,1799.7868071715368,1799.7868071715368,False,1100.0,0.0,0.0,0.0,13.515,22.0745,33.337,1113.515,1122.0745,1133.337
936018,2019,Ansley Public School District,NE,True,True,175.0,2.0,100,1451.3361934151658,1451.3361934151658,False,1100.0,0.0,0.0,0.0,8.925,14.577500000000002,22.015000000000004,1108.925,1114.5775,1122.015
936019,2019,Arapahoe Public School District,NE,True,True,346.0,2.0,200,2648.3163595522706,2648.3163595522706,False,1100.0,0.0,0.0,0.0,17.646,28.821800000000003,43.5268,1117.646,1128.8218,1143.5268
936021,2019,Arcadia Public School District,NE,True,True,132.0,2.0,100,1373.7089001760107,1373.7089001760107,False,1100.0,0.0,0.0,0.0,6.732,10.9956,16.6056,1106.732,1110.9956,1116.6056
936023,2019,Arlington Public Schools,NE,True,True,651.0,2.0,1000,1410.3934395044168,1410.3934395044168,True,1100.0,0.0,0.0,0.0,33.201,54.2283,81.8958,1133.201,1154.2283,1181.8958
935934,2019,Arnold Public School District,NE,True,True,159.0,2.0,200,1725.832084302922,1725.832084302922,True,1100.0,0.0,0.0,0.0,8.109,13.2447,20.002200000000002,1108.109,1113.2447,1120.0022
936024,2019,Arthur County Schools,NE,True,True,114.0,2.0,100,2165.7167774247364,2165.7167774247364,False,1100.0,0.0,0.0,0.0,5.814000000000001,9.496200000000002,14.341200000000002,1105.814,1109.4962,1114.3412
935917,2019,Ashland-Greenwood School District,NE,True,True,889.0,3.0,200,529.6770625490423,529.6770625490423,False,1100.0,0.0,0.0,0.0,45.339000000000006,74.0537,111.83620000000002,1145.339,1174.0537,1211.8362
936025,2019,Auburn Public School District,NE,True,True,826.0,3.0,1000,1417.2196329195826,1417.2196329195826,True,1100.0,0.0,0.0,0.0,42.126000000000005,68.8058,103.91080000000001,1142.126,1168.8058,1203.9108
936026,2019,Aurora School District,NE,True,True,1200.0,3.0,1000,1629.6681834182798,1629.6681834182798,False,0.0,2200.0,0.0,0.0,61.2,99.96000000000001,150.96,2261.2,2299.96,2350.96
936028,2019,Axtell Community School District,NE,True,True,258.0,3.0,300,427.89375943493013,427.89375943493013,True,1100.0,0.0,0.0,0.0,13.158000000000001,21.491400000000002,32.4564,1113.158,1121.4914,1132.4564
936029,2019,Bancroft-Rosalie Community Schools,NE,True,True,275.0,2.0,200,2386.726875366689,2386.726875366689,False,1100.0,0.0,0.0,0.0,14.025,22.9075,34.595,1114.025,1122.9075,1134.595
935926,2019,Banner County Public Schools,NE,True,True,160.0,2.0,100,1443.5010911224374,1443.5010911224374,False,1100.0,0.0,0.0,0.0,8.16,13.328000000000001,20.128,1108.16,1113.328,1120.128
