,district_id,state_code,name,num_students,locale,size,meeting_2018_goal_oversub,fy18_ia_bw_mbps_total,fy17_ia_bw_mbps_total,fy18_ia_bandwidth_per_student_kbps,fy17_ia_bandwidth_per_student_kbps,fy18_hierarchy_ia_connect_category,fy17_hierarchy_ia_connect_category
958,894216,IA,Charter Oak-Ute Community School District,138,Rural,Small,True,250,250,1812,943,Fiber,Fiber
959,894224,IA,Clear Creek-Amana Community S D,2328,Rural,Medium,True,3400,1400,1460,631,Fiber,Fiber
960,894235,IA,Coon Rapids-Bayard Community District,416,Rural,Small,True,1000,100,2404,172,Fiber,Fiber
961,894239,IA,Council Bluffs Community School District,9147,Urban,Medium,True,10000,2000,1093,220,Fiber,Fiber
962,894240,IA,Creston Community Schools,1287,Rural,Small,True,1500,1500,1166,801,Fiber,Fiber
963,894242,IA,Danville Community School District,691,Rural,Small,True,1500,500,2171,768,Fiber,Fiber
964,894245,IA,Decorah Community School District,1637,Town,Small,True,20000,20000,12217,11501,Fiber,Fiber
965,894252,IA,Diagonal Community School District,117,Rural,Small,True,200,200,1709,1869,Fiber,Fiber
966,894255,IA,Dubuque Community School District,10626,Urban,Large,True,10000,3000,941,284,Fiber,Fiber
967,894257,IA,Boyer Valley Community School District,481,Rural,Small,True,500,500,1040,1116,Fiber,Fiber
968,894269,IA,Eldora-New Providence School District,592,Rural,Small,True,750,500,1267,805,Fiber,Fiber
969,894293,IA,George-Little Rock Community School District,451,Rural,Small,True,1000,1000,2217,2353,Fiber,Fiber
970,894295,IA,Gilmore City-Bradgate School District,50,Rural,Tiny,True,1000,1000,20000,23256,Cable,Cable
971,894298,IA,Glidden-Ralston Community School District,339,Rural,Small,True,1000,250,2950,729,Fiber,Fiber
972,894303,IA,Grundy Center Community School District,698,Rural,Small,True,1000,550,1433,797,Fiber,Fiber
973,894304,IA,Guthrie Center Community School District,522,Rural,Small,True,1000,1300,1916,2060,Fiber,Fiber
974,894307,IA,Hamburg Community School District,174,Rural,Small,True,300,300,1724,1500,Fiber,Fiber
975,894310,IA,Harmony Community School District,174,Rural,Tiny,True,200,200,1149,1205,Fiber,Fiber
976,894313,IA,Hinton Community School District,808,Rural,Small,True,1000,1000,1238,1241,Fiber,Fiber
977,894315,IA,Hubbard-Radcliffe Community Schs,399,Rural,Small,True,700,180,1754,451,Fiber,Fiber
978,894333,IA,Lake Mills Community School District,678,Rural,Small,True,1000,1000,1475,1385,Fiber,Fiber
979,894337,IA,Lawton-Bronson Community School District,631,Rural,Small,True,1000,1000,1585,1548,Fiber,Fiber
980,894340,IA,Lewis Central Community School District,3017,Urban,Small,True,5000,1000,1657,329,Fiber,Fiber
981,894342,IA,North Cedar Community School District,744,Rural,Small,True,1300,,1747,,Fiber,Fiber
982,894344,IA,Lisbon Community School District,695,Town,Small,True,1000,250,1439,371,Fiber,Fiber
983,894348,IA,Luverne Community School District,84,Rural,Tiny,True,200,100,2381,1639,Fiber,Fiber
984,894354,IA,Manson-Nw Webster Community Schools,806,Rural,Small,True,1000,750,1241,927,Fiber,Fiber
985,894355,IA,Maple Valley Anthon-Oto School District,653,Rural,Small,True,1000,175,1531,252,Fiber,Fiber
986,894360,IA,Marshalltown Community School District,5054,Town,Medium,True,5000,5000,989,969,Fiber,Fiber
987,894364,IA,Mediapolis Community School District,865,Rural,Small,True,1000,300,1156,330,Fiber,Fiber
988,894373,IA,Mormon Trail Community School District,233,Rural,Small,True,1100,130,4721,514,Fiber,Fiber
989,894376,IA,Mount Ayr Community School District,635,Rural,Small,True,750,350,1181,523,Fiber,Fiber
990,894378,IA,Mount Vernon Community School District,1370,Town,Small,True,2000,500,1460,356,Fiber,Fiber
991,894396,IA,North Winneshiek Community School District,113,Rural,Small,True,200,200,1770,1626,Fiber,Fiber
992,894399,IA,Northeast Hamilton Csd,106,Rural,Tiny,True,150,105,1415,1180,Fiber,Fiber
993,894406,IA,Olin Consolidated School District,69,Rural,Tiny,True,100,100,1449,1429,Fiber,Fiber
994,894407,IA,Orient-Macksburg Community School District,168,Rural,Small,True,175,175,1042,1087,Fiber,Fiber
995,894419,IA,Pocahontas Area Community School District,644,Rural,Small,True,900,,1398,,Fiber,Fiber
996,894428,IA,Rock Valley Community School District,889,Town,Small,True,1000,1000,1125,1175,Fiber,Fiber
997,894431,IA,Rudd Rockford Marble Rock Community School District,485,Rural,Small,True,1000,1000,2062,2183,Fiber,Fiber
998,894436,IA,Schleswig Community School District,172,Rural,Small,True,200,200,1163,1220,Fiber,Fiber
999,894440,IA,Sheffield-Chapin Meservey-Thornton Csd,698,Rural,Small,True,1000,600,1433,910,Fiber,Fiber
1000,894446,IA,Sioux City Community School District,14137,Urban,Large,True,10000,2000,707,143,Fiber,Fiber
1001,894472,IA,Twin Rivers Community School District,63,Rural,Tiny,True,100,25,1587,532,Fiber,Fiber
1002,894489,IA,Waterloo Community School District,10666,Urban,Large,True,8000,4000,750,376,Fiber,Fiber
1003,894492,IA,Wayne Community School District,606,Rural,Small,True,1000,300,1650,465,Fiber,Fiber
1004,894495,IA,West Branch Community School,824,Rural,Small,True,1000,1000,1214,1083,Fiber,Fiber
1005,894505,IA,West Monona Community School District,634,Rural,Small,True,1000,1000,1577,1208,Fiber,Fiber
1006,894506,IA,West Sioux Community School District,802,Rural,Small,True,1000,1100,1247,1385,Fiber,Fiber
1007,894508,IA,Westwood Community School District,597,Rural,Small,True,1000,150,1675,250,Fiber,Fiber
1008,894511,IA,Wilton Community School District,899,Town,Small,True,1300,800,1446,917,Fiber,Fiber
1009,894516,IA,Woodbury Central Community School District,616,Rural,Small,True,1000,1000,1623,1629,Fiber,Fiber
1010,895365,ID,Aberdeen School District 58,728,Rural,Small,True,2000,2000,2747,2584,Fiber,Fiber
1011,895366,ID,American Falls Joint District 381,1449,Town,Small,True,2000,1000,1380,767,Fiber,Fiber
1012,895367,ID,Arbon Elementary District,21,Rural,Tiny,True,25,25,1190,1389,Fiber,Fiber
1013,895381,ID,Avery School District,11,Rural,Tiny,True,100,6,9091,375,Fiber,Fixed Wireless
1014,895396,ID,Basin School District 72,311,Rural,Small,True,400,400,1286,1187,Fiber,Fiber
